x,y,r,g,b,radius
574.009,584.229,214,103,126,4.01383
737.56,537.365,217,190,112,3.65234
101.932,529.49,113,138,247,4.80617
301.32,522.193,233,156,135,3.59766
248.404,569.492,102,193,170,3.05382
472.834,560.903,100,193,192,3.65646
769.738,548.815,117,202,197,3.27952
257.316,581.505,150,194,150,3.90716
319.107,591.902,187,193,110,3.11916
441.391,567.54,157,176,200,3.92063
591.974,541.339,101,225,149,3.94862
301.304,553.621,120,177,209,4.37709
448.673,524.645,180,242,113,3.41478
190.106,583.624,157,117,129,4.95683
342.589,552.11,115,129,134,4.55048
406.874,536.326,249,241,215,3.91587
759.29,536.308,238,201,102,4.86743
51.1486,575.13,106,145,105,3.54894
371.006,542.396,157,164,245,3.50401
291.438,562.888,155,250,205,4.27987
573.105,516.38,184,228,210,4.61715
357.286,570.339,192,203,120,3.48878
162.195,539.252,207,237,150,4.4944
25.1021,539.907,189,114,222,3.95068
209.471,548.732,100,191,136,3.55182
626.367,517.661,153,178,114,3.55451
648.072,591.32,153,100,194,3.75776
476.119,520.375,254,253,252,4.57489
482.268,526.142,147,108,238,3.89958
449.599,531.965,235,248,250,4.02309
466.421,530.773,148,181,144,3.43049
527.072,567.109,202,175,252,3.40777
525.84,513.035,128,181,230,4.506
154.164,585.853,214,166,247,3.07309
274.153,550.989,231,220,223,3.17759
709.552,585.893,251,117,239,3.38078
222.069,584.679,121,178,140,3.13486
587.616,590.901,140,174,160,4.13711
310.27,577.779,155,107,144,4.42445
684.786,514.791,159,199,191,4.30242
193.335,591.387,162,139,182,3.65345
642.31,570.781,128,185,119,3.97064
619.871,519.417,100,161,133,3.29271
227.857,532.626,202,138,231,3.11427
269.776,562.475,126,182,115,3.4683
629.021,568.36,240,252,188,4.40606
642.551,555.387,222,138,245,3.07257
489.508,564.074,234,226,164,4.6125
758.335,575.716,177,233,223,3.00273
430.726,590.444,221,151,164,4.59499
128.913,547.405,128,199,207,3.77124
172.454,572.203,243,212,251,4.45418
316.445,565.99,140,219,100,3.09144
354.224,563.813,169,169,218,3.82673
747.176,558.411,227,220,130,4.96358
99.2717,574.158,133,218,253,4.02066
483.02,547.38,111,209,148,4.18506
535.418,575.878,127,246,106,3.94433
510.007,535.326,121,192,229,4.8981
683.514,590.602,149,159,245,4.40095
77.6721,584.74,134,189,123,3.33796
633.267,520.097,182,113,157,3.85093
616.111,556.456,144,228,134,4.54992
277.314,576.19,146,104,244,3.68345
236.556,525.597,102,135,144,3.08298
