x,y,r,g,b,radius
580.215,523.214,214,103,126,4.01383
731.004,135.398,217,190,112,3.65234
103.417,46.5982,113,138,247,4.80617
320.754,43.3731,233,156,135,3.59766
243.527,386.33,102,193,170,3.05382
471.814,360.02,100,193,192,3.65646
761.625,220.696,117,202,197,3.27952
251.183,493.114,150,194,150,3.90716
318.415,581.757,187,193,110,3.11916
422.54,491.291,157,176,200,3.92063
595.624,223.263,101,225,149,3.94862
300.941,256.662,120,177,209,4.37709
465.458,147.981,180,242,113,3.41478
190.454,483.516,157,117,129,4.95683
347.635,284.145,115,129,134,4.55048
403.384,133.447,249,241,215,3.91587
749.798,119.935,238,201,102,4.86743
54.8381,426.002,106,145,105,3.54894
379.911,179.605,157,164,245,3.50401
296.83,323.126,155,250,205,4.27987
577.899,18.1342,184,228,210,4.61715
353.324,375.656,192,203,120,3.48878
157.697,161.516,207,237,150,4.4944
22.5083,211.885,189,114,222,3.95068
205.319,93.7476,100,191,136,3.55182
629.539,126.747,153,178,114,3.55451
645.561,538.356,153,100,194,3.75776
475.848,43.0855,254,253,252,4.57489
484.59,54.366,147,108,238,3.89958
449.808,41.0845,235,248,250,4.02309
465.87,94.6806,148,181,144,3.43049
522.236,397.984,202,175,252,3.40777
526.604,35.6208,128,181,230,4.506
149.426,483.341,214,166,247,3.07309
275.128,209.815,231,220,223,3.17759
702.791,527.726,251,117,239,3.38078
221.932,508.547,121,178,140,3.13486
589.698,576.58,140,174,160,4.13711
313.099,457.035,155,107,144,4.42445
672.517,39.4655,159,199,191,4.30242
189.761,576.365,162,139,182,3.65345
642.723,466.479,128,185,119,3.97064
640.742,162.097,100,161,133,3.29271
235.413,86.3989,202,138,231,3.11427
272.48,310.406,126,182,115,3.4683
633.848,391.552,240,252,188,4.40606
640.191,331.198,222,138,245,3.07257
485.946,345.819,234,226,164,4.6125
749.299,384.203,177,233,223,3.00273
427.241,514.707,221,151,164,4.59499
122.15,208.773,128,199,207,3.77124
171.03,402.371,243,212,251,4.45418
319.736,262.88,140,219,100,3.09144
367.556,303.205,169,169,218,3.82673
740.625,251.601,227,220,130,4.96358
92.5678,426.603,133,218,253,4.02066
498.171,261.008,111,209,148,4.18506
547.576,478.33,127,246,106,3.94433
515.303,202.155,121,192,229,4.8981
676.344,520.157,149,159,245,4.40095
64.7748,538.009,134,189,123,3.33796
627.036,110.802,182,113,157,3.85093
617.725,300.94,144,228,134,4.54992
275.771,414.274,146,104,244,3.68345
237.776,60.0449,102,135,144,3.08298
105.652,266.36,223,111,100,3.74197
689.741,576.789,165,130,234,4.58075
125.354,558.898,202,113,135,4.05113
519.298,80.2787,102,114,152,4.55324
644.366,157.216,130,150,188,3.23607
741.051,114.57,196,238,220,3.60986
661.018,16.7042,122,170,202,4.59979
386.657,10.2273,186,243,198,3.61111
666.143,474.368,140,204,195,4.36013
594.333,212.376,249,224,180,3.83058
498.92,130.434,255,148,151,3.3892
385.594,361.123,197,245,184,4.34093
685.862,435.406,211,152,211,4.21507
225.157,295.013,203,101,155,4.64589
175.804,589.691,128,125,222,3.75721
612.404,228.52,140,200,141,4.15544
147.969,353.266,186,214,128,4.01258
669.127,118.368,245,123,238,4.03538
545.243,249.091,175,195,184,4.28728
65.0184,393.37,144,231,163,3.74494
565.56,568.158,156,175,217,4.34976
319.46,157.423,219,102,252,4.95661
339.07,428.992,229,114,135,3.47723
736.854,565.76,116,207,131,4.89932
153.582,183.33,232,126,240,3.71139
9.18049,113.118,172,140,184,3.14625
561.139,519.198,110,141,128,4.91524
607.805,486.105,192,181,207,3.57116
452.717,214.475,230,126,173,3.60136
681.818,482.274,161,107,242,4.47627
580.438,189.04,200,112,169,3.37065
680.378,72.4384,250,136,125,3.45586
572.684,535.479,253,119,106,3.47465
310.64,459.37,164,197,178,3.42297
545.58,381.362,131,128,139,4.78351
460.495,14.2532,139,125,139,4.69912
788.254,206.986,191,132,199,4.81151
195.368,298.279,171,129,197,4.7963
328.853,172.81,154,100,235,4.79478
58.2301,562.636,134,179,136,4.74999
783.405,292.524,144,221,167,4.27114
469.939,566.455,107,249,119,4.59905
170.561,249.938,130,148,162,3.03822
747.162,262.912,186,112,188,3.40292
269.983,238.204,166,155,203,4.94185
239.688,312.919,219,240,122,3.94393
171.444,411.885,160,104,143,3.17126
393.232,447.896,186,238,120,4.78527
604.518,500.675,255,100,109,3.17835
594.986,501.09,247,159,220,3.96612
298.672,562.332,136,201,217,3.42118
195.45,438.066,221,167,187,4.48965
19.0767,407.73,221,218,147,4.13786
713.318,105.065,134,126,224,4.1012
595.041,178.63,234,129,158,4.92238
305.856,144.117,201,243,226,4.36483
272.817,366.885,173,252,150,3.20091
695.729,387.091,119,139,232,4.5679
698.709,506.834,110,123,173,4.87599
307.154,23.4983,154,234,233,4.0013
597.805,30.3764,148,140,208,4.02169
626.577,474.032,229,213,119,3.0039
14.6463,49.1806,214,246,155,4.10775
25.0548,450.502,157,177,226,3.91736
756.271,143.609,245,135,245,4.94906
577.152,64.7595,144,167,196,4.73734
155.296,362.92,101,200,181,4.12182
67.6074,202.975,158,217,179,3.68651
396.38,419.477,179,216,128,3.92872
325.435,350.516,123,234,217,3.34812
314.199,51.7951,207,128,119,3.65465
701.932,251.308,220,182,178,4.1626
48.8321,272.883,178,150,169,3.98091
354.529,261.131,176,203,124,4.31391
700.682,189.428,187,227,249,4.20877
96.415,459.719,232,129,184,3.69877
610.657,101.123,144,146,254,3.32115
49.78,70.9612,137,250,203,3.55013
30.2536,430.116,241,221,221,4.10157
12.3412,518.298,103,110,182,4.04385
378.744,165.601,164,151,140,4.33748
23.9464,94.3678,116,224,224,3.37425
259.147,306.83,103,203,234,3.44878
9.84826,263.159,176,183,117,4.45618
519.601,434.893,146,146,126,4.26336
624.1,326.325,121,139,210,3.23595
338.627,563.2,241,138,148,4.14541
445.814,223.959,140,160,135,4.48135
107.369,274.326,225,220,186,3.48541
772.184,27.0646,243,226,131,4.85042
567.583,564.28,231,149,228,4.5091
499.963,262.614,193,102,191,4.81741
479.231,142.764,231,187,107,4.88809
469.222,473.227,219,230,236,4.93307
432.117,44.4145,159,118,238,4.16827
84.0065,93.9099,195,179,125,4.45536
72.4637,177.867,201,168,154,3.20362
672.705,142.657,198,167,129,4.84362
69.9652,193.167,135,227,176,4.21855
469.148,78.7167,119,206,247,3.59934
285.314,362.626,100,176,173,3.20769
782.907,258.979,215,246,242,3.20789
144.442,250.72,240,210,116,3.61096
